CODE,ISIN,Name
HGFGT,INF179K01WA6,HDFC Balanced Advantage Fund Direct Plan Growth
P8189,INF109K012M7,ICICI Prudential Nifty 50 Index Direct Plan Growth
K123D,INF174K01LT0,Kotak Emerging Equity Fund Direct Growth
PP001ZG,INF879O01027,Parag Parikh Flexi Cap Fund Direct Growth
LD103G,INF200K01QX4,SBI Bluechip Direct Plan Growth
LD346G,INF200K01T51,SBI Small Cap Fund Direct Growth
EBD1G,INF769K01BI1,Mirae Asset Emerging Bluechip Fund - Direct Plan Growth
MCDGG,INF846K01EH3,Axis Mid Cap Fund - Direct Growth
SCAGG,INF204K01K15,NIPPON INDIA SMALL CAP FUND - DIRECT GROWTH PLAN GROWTH OPTION
