,symbol,isin,trade_date,quantity,price,NIFTY
0,HDFC Balanced Advantage Fund Direct Plan Growth,INF179K01WA6,20-APR-2023,0.285,350.337,17624.45
1,HDFC Balanced Advantage Fund Direct Plan Growth,INF179K01WA6,19-JUN-2023,5.404,370.074,18755.45
2,HDFC Balanced Advantage Fund Direct Plan Growth,INF179K01WA6,17-AUG-2023,2.287,393.462,19365.25
3,ICICI Prudential Nifty 50 Index Direct Plan Growth,INF109K012M7,22-MAY-2023,10.651,187.7732,18314.4
4,ICICI Prudential Nifty 50 Index Direct Plan Growth,INF109K012M7,20-JUL-2023,9.738,205.3632,19979.15
5,Kotak Emerging Equity Fund Direct Growth,INF174K01LT0,14-JUN-2023,10.697,93.48,18755.9
6,Kotak Emerging Equity Fund Direct Growth,INF174K01LT0,14-JUL-2023,10.402,96.13,19564.5
7,Kotak Emerging Equity Fund Direct Growth,INF174K01LT0,14-AUG-2023,10.058,99.418,19434.55
8,Parag Parikh Flexi Cap Fund Direct Growth,INF879O01027,08-JUN-2023,34.423,58.0973,18634.55
9,Parag Parikh Flexi Cap Fund Direct Growth,INF879O01027,08-AUG-2023,32.685,61.1877,19570.85
10,SBI Bluechip Direct Plan Growth,INF200K01QX4,11-JUL-2023,25.983,76.9694,19439.4
11,SBI Bluechip Direct Plan Growth,INF200K01QX4,08-AUG-2023,25.826,77.4382,19570.85
12,SBI Small Cap Fund Direct Growth,INF200K01T51,14-JUL-2023,7.087,141.0983,19564.5
13,SBI Small Cap Fund Direct Growth,INF200K01T51,14-AUG-2023,6.88,145.3391,19434.55
14,Mirae Asset Emerging Bluechip Fund - Direct Plan Growth,INF769K01BI1,21-JUL-2023,16.851,118.678,19745.0
15,Axis Mid Cap Fund - Direct Growth,INF846K01EH3,24-JUL-2023,11.653,85.81,19672.35
16,NIPPON INDIA SMALL CAP FUND - DIRECT GROWTH PLAN GROWTH OPTION,INF204K01K15,24-JUL-2023,7.979,125.3154,19672.35
